,AP,x_coordinate(m),y_coordinate(m),floor
567,Bldg22AP6,21740,32857,3.0
568,Bldg22AP7,21740,32857,3.0
569,Bldg22AP8,21740,32857,2.0
570,Bldg22AP9,21740,32857,3.0
571,Bldg22AP10,21740,32857,4.0
572,Bldg22AP11,21740,32857,4.0
573,Bldg22AP12,21740,32857,5.0
574,Bldg22AP13,21740,32857,5.0
575,Bldg22AP14,21740,32857,6.0
576,Bldg22AP15,21740,32857,6.0
577,Bldg22AP16,21740,32857,7.0
578,Bldg22AP17,21740,32857,7.0
579,Bldg22AP18,21740,32857,7.0
580,Bldg22AP19,21740,32857,3.0
581,Bldg22AP20,21740,32857,3.0
582,Bldg22AP21,21740,32857,4.0
583,Bldg22AP22,21740,32857,4.0
584,Bldg22AP23,21740,32857,5.0
585,Bldg22AP24,21740,32857,6.0
586,Bldg23AP1,21606,33017,2.0
587,Bldg23AP2,21606,33017,5.0
588,Bldg23AP3,21606,33017,10.0
589,Bldg23AP4,21606,33017,11.0
590,Bldg23AP5,21606,33017,3.0
591,Bldg23AP6,21606,33017,3.0
592,Bldg23AP7,21606,33017,4.0
593,Bldg23AP8,21606,33017,4.0
594,Bldg23AP9,21606,33017,4.0
595,Bldg23AP10,21606,33017,5.0
596,Bldg23AP11,21606,33017,5.0
597,Bldg23AP12,21606,33017,6.0
598,Bldg23AP13,21606,33017,6.0
599,Bldg23AP14,21606,33017,7.0
600,Bldg23AP15,21606,33017,8.0
601,Bldg23AP16,21606,33017,8.0
602,Bldg23AP17,21606,33017,9.0
603,Bldg23AP18,21606,33017,
604,Bldg23AP19,21606,33017,10.0
605,Bldg23AP20,21606,33017,10.0
606,Bldg23AP21,21606,33017,11.0
607,Bldg23AP22,21606,33017,11.0
608,Bldg23AP23,21606,33017,2.0
609,Bldg23AP24,21606,33017,2.0
610,Bldg23AP25,21606,33017,2.0
611,Bldg23AP26,21606,33017,3.0
612,Bldg23AP27,21606,33017,3.0
613,Bldg23AP28,21606,33017,4.0
614,Bldg23AP29,21606,33017,4.0
615,Bldg23AP30,21606,33017,4.0
616,Bldg23AP31,21606,33017,4.0
617,Bldg23AP32,21606,33017,4.0
618,Bldg23AP33,21606,33017,5.0
619,Bldg23AP34,21606,33017,5.0
620,Bldg23AP35,21606,33017,5.0
621,Bldg23AP36,21606,33017,5.0
622,Bldg23AP37,21606,33017,6.0
623,Bldg23AP38,21606,33017,6.0
624,Bldg23AP39,21606,33017,6.0
625,Bldg23AP40,21606,33017,7.0
626,Bldg23AP41,21606,33017,7.0
627,Bldg23AP42,21606,33017,8.0
628,Bldg23AP43,21606,33017,8.0
629,Bldg23AP44,21606,33017,9.0
630,Bldg23AP45,21606,33017,9.0
631,Bldg23AP46,21606,33017,9.0
632,Bldg24AP1,20908,33337,2.0
633,Bldg24AP2,20908,33337,2.0
634,Bldg24AP3,20908,33337,3.0
635,Bldg24AP4,20908,33337,2.0
636,Bldg24AP5,20908,33337,3.0
637,Bldg24AP6,20908,33337,3.0
638,Bldg25AP1,21408,33024,2.0
639,Bldg25AP2,21408,33024,2.0
640,Bldg25AP3,21408,33024,2.0
641,Bldg25AP4,21408,33024,3.0
642,Bldg25AP5,21408,33024,3.0
643,Bldg25AP6,21408,33024,4.0
644,Bldg25AP7,21408,33024,4.0
645,Bldg25AP8,21408,33024,6.0
646,Bldg25AP9,21408,33024,7.0
647,Bldg25AP10,21408,33024,2.0
648,Bldg25AP11,21408,33024,2.0
649,Bldg25AP12,21408,33024,2.0
650,Bldg25AP13,21408,33024,3.0
651,Bldg25AP14,21408,33024,3.0
652,Bldg25AP15,21408,33024,5.0
653,Bldg25AP16,21408,33024,7.0
654,Bldg25AP17,21408,33024,7.0
655,Bldg25AP18,21408,33024,2.0
656,Bldg25AP19,21408,33024,3.0
657,Bldg25AP20,21408,33024,5.0
658,Bldg25AP21,21408,33024,7.0
659,Bldg25AP22,21408,33024,8.0
660,Bldg25AP23,21408,33024,4.0
661,Bldg25AP24,21408,33024,
662,Bldg26AP1,21399,33054,5.0
663,Bldg26AP2,21399,33054,4.0
664,Bldg26AP3,21399,33054,2.0
665,Bldg26AP4,21399,33054,3.0
666,Bldg26AP5,21399,33054,3.0
667,Bldg26AP6,21399,33054,3.0
668,Bldg26AP7,21399,33054,3.0
669,Bldg26AP8,21399,33054,3.0
670,Bldg26AP9,21399,33054,4.0
671,Bldg26AP10,21399,33054,5.0
672,Bldg26AP11,21399,33054,6.0
673,Bldg26AP12,21399,33054,7.0
674,Bldg26AP13,21399,33054,6.0
675,Bldg26AP14,21399,33054,4.0
676,Bldg26AP15,21399,33054,2.0
677,Bldg26AP16,21399,33054,2.0
678,Bldg26AP17,21399,33054,2.0
679,Bldg26AP18,21399,33054,3.0
680,Bldg26AP19,21399,33054,3.0
681,Bldg26AP20,21399,33054,3.0
682,Bldg26AP21,21399,33054,5.0
683,Bldg26AP22,21399,33054,6.0
684,Bldg26AP23,21399,33054,1.0
685,Bldg26AP24,21399,33054,1.0
686,Bldg26AP25,21399,33054,2.0
687,Bldg26AP26,21399,33054,2.0
688,Bldg26AP27,21399,33054,2.0
689,Bldg26AP28,21399,33054,3.0
690,Bldg26AP29,21399,33054,3.0
691,Bldg26AP30,21399,33054,2.0
692,Bldg26AP31,21399,33054,
693,Bldg26AP32,21399,33054,
694,Bldg26AP33,21399,33054,
695,Bldg26AP34,21399,33054,
696,Bldg27AP1,21419,33059,4.0
697,Bldg27AP2,21419,33059,4.0
698,Bldg28AP1,21479,33032,2.0
699,Bldg28AP2,21479,33032,2.0
700,Bldg28AP3,21479,33032,4.0
701,Bldg28AP4,21479,33032,5.0
702,Bldg28AP5,21479,33032,4.0
703,Bldg28AP6,21479,33032,5.0
704,Bldg29AP1,21462,33057,3.0
705,Bldg29AP2,21462,33057,3.0
706,Bldg29AP3,21462,33057,6.0
707,Bldg30AP1,21436,33105,1.0
708,Bldg30AP2,21436,33105,2.0
709,Bldg30AP3,21436,33105,2.0
710,Bldg30_tmp_AP1,21436,33105,
711,Bldg30_tmp_AP2,21436,33105,
712,Bldg30_tmp_AP3,21436,33105,
713,Bldg30_tmp_AP4,21436,33105,
714,Bldg31AP1,21412,33204,2.0
715,Bldg31AP2,21412,33204,1.0
716,Bldg31AP3,21412,33204,1.0
717,Bldg31AP4,21412,33204,1.0
718,Bldg31AP5,21412,33204,2.0
719,Bldg31AP6,21412,33204,2.0
720,Bldg31AP7,21412,33204,3.0
721,Bldg31AP8,21412,33204,0.0
722,Bldg31AP9,21412,33204,2.0
723,Bldg31AP10,21412,33204,2.0
724,Bldg31AP11,21412,33204,2.0
725,Bldg31AP12,21412,33204,2.0
726,Bldg31AP13,21412,33204,2.0
727,Bldg31AP14,21412,33204,2.0
728,Bldg31AP15,21412,33204,3.0
729,Bldg31AP16,21412,33204,3.0
730,Bldg31AP17,21412,33204,3.0
731,Bldg31AP18,21412,33204,3.0
732,Bldg31AP19,21412,33204,3.0
733,Bldg31AP20,21412,33204,3.0
734,Bldg31AP21,21412,33204,3.0
735,Bldg31AP22,21412,33204,3.0
736,Bldg31AP23,21412,33204,3.0
737,Bldg31AP24,21412,33204,3.0
738,Bldg31AP25,21412,33204,4.0
739,Bldg31AP26,21412,33204,4.0
740,Bldg31AP27,21412,33204,4.0
741,Bldg31AP28,21412,33204,4.0
742,Bldg31AP29,21412,33204,4.0
743,Bldg31AP30,21412,33204,4.0
744,Bldg31AP31,21412,33204,4.0
745,Bldg31AP32,21412,33204,4.0
746,Bldg31AP33,21412,33204,4.0
747,Bldg31AP34,21412,33204,
748,Bldg31AP35,21412,33204,1.0
749,Bldg31AP36,21412,33204,
750,Bldg32AP1,21455,33152,
751,Bldg32AP2,21455,33152,
752,Bldg33AP1,21505,33247,0.0
753,Bldg33AP2,21505,33247,0.0
754,Bldg33AP3,21505,33247,0.0
755,Bldg33AP4,21505,33247,0.0
756,Bldg33AP5,21505,33247,0.0
757,Bldg34AP1,21579,33200,
758,Bldg34AP2,21579,33200,4.0
759,Bldg34AP3,21579,33200,3.0
760,Bldg34AP4,21579,33200,1.0
761,Bldg34AP5,21579,33200,1.0
762,Bldg34AP6,21579,33200,1.0
763,Bldg34AP7,21579,33200,3.0
764,Bldg34AP8,21579,33200,3.0
765,Bldg34AP9,21579,33200,4.0
766,Bldg34AP10,21579,33200,4.0
767,Bldg34AP11,21579,33200,4.0
768,Bldg34AP12,21579,33200,2.0
769,Bldg34AP13,21579,33200,3.0
770,Bldg35AP1,21480,33215,1.0
771,Bldg35AP2,21480,33215,1.0
772,Bldg35AP3,21480,33215,0.0
773,Bldg35AP4,21480,33215,2.0
774,Bldg35AP5,21480,33215,1.0
775,Bldg35AP6,21480,33215,0.0
776,Bldg35AP7,21480,33215,0.0
777,Bldg35AP8,21480,33215,2.0
778,Bldg35AP9,21480,33215,2.0
779,Bldg35AP10,21480,33215,3.0
780,Bldg35AP11,21480,33215,3.0
781,Bldg35AP12,21480,33215,3.0
782,Bldg35AP13,21480,33215,4.0
783,Bldg35AP14,21480,33215,4.0
784,Bldg35AP15,21480,33215,4.0
785,Bldg35AP16,21480,33215,1.0
786,Bldg35AP17,21480,33215,2.0
787,Bldg35AP18,21480,33215,2.0
788,Bldg35AP19,21480,33215,2.0
789,Bldg35AP20,21480,33215,3.0
790,Bldg35AP21,21480,33215,3.0
791,Bldg35AP22,21480,33215,3.0
792,Bldg35AP23,21480,33215,3.0
793,Bldg35AP24,21480,33215,3.0
794,Bldg35AP25,21480,33215,3.0
795,Bldg35AP26,21480,33215,0.0
796,Bldg35AP27,21480,33215,0.0
797,Bldg35AP28,21480,33215,1.0
798,Bldg35AP29,21480,33215,1.0
799,Bldg35AP30,21480,33215,1.0
800,Bldg35AP31,21480,33215,1.0
801,Bldg35AP32,21480,33215,1.0
802,Bldg35AP33,21480,33215,1.0
803,Bldg35AP34,21480,33215,1.0
804,Bldg35AP35,21480,33215,1.0
805,Bldg35AP36,21480,33215,0.0
806,Bldg35AP37,21480,33215,0.0
807,Bldg35AP38,21480,33215,0.0
808,Bldg35AP39,21480,33215,1.0
809,Bldg35AP40,21480,33215,1.0
810,Bldg36AP1,21366,33402,2.0
811,Bldg36AP2,21366,33402,2.0
812,Bldg36AP3,21366,33402,4.0
813,Bldg36AP4,21366,33402,4.0
814,Bldg36AP5,21366,33402,5.0
815,Bldg36AP6,21366,33402,4.0
816,Bldg36AP7,21366,33402,4.0
817,Bldg36AP8,21366,33402,3.0
818,Bldg37AP1,21303,33425,2.0
819,Bldg37AP2,21303,33425,2.0
820,Bldg37AP3,21303,33425,2.0
821,Bldg37AP4,21303,33425,2.0
822,Bldg37AP5,21303,33425,2.0
823,Bldg37AP6,21303,33425,2.0
824,Bldg37AP7,21303,33425,2.0
825,Bldg37AP8,21303,33425,2.0
826,Bldg37AP9,21303,33425,2.0
827,Bldg37AP10,21303,33425,3.0
828,Bldg37AP11,21303,33425,3.0
829,Bldg37AP12,21303,33425,4.0
830,Bldg37AP13,21303,33425,4.0
831,Bldg37AP14,21303,33425,4.0
832,Bldg38AP1,21229,33425,
833,Bldg38AP2,21229,33425,2.0
834,Bldg38AP3,21229,33425,3.0
835,Bldg38AP4,21229,33425,2.0
836,Bldg38AP5,21229,33425,2.0
837,Bldg38AP6,21229,33425,5.0
838,Bldg38AP7,21229,33425,5.0
839,Bldg38AP8,21229,33425,4.0
840,Bldg38AP9,21229,33425,4.0
841,Bldg38AP10,21229,33425,4.0
842,Bldg38AP11,21229,33425,3.0
843,Bldg38AP12,21229,33425,2.0
844,Bldg38AP13,21229,33425,2.0
845,Bldg38AP14,21229,33425,2.0
846,Bldg38AP15,21229,33425,3.0
847,Bldg38AP16,21229,33425,3.0
848,Bldg38AP17,21229,33425,3.0
849,Bldg38AP18,21229,33425,2.0
850,Bldg38AP19,21229,33425,2.0
851,Bldg38AP20,21229,33425,3.0
852,Bldg38AP21,21229,33425,3.0
853,Bldg38AP22,21229,33425,2.0
854,Bldg39AP1,21303,33410,1.0
855,Bldg39AP2,21303,33410,2.0
856,Bldg40AP1,21217,33495,3.0
857,Bldg40AP2,21217,33495,3.0
858,Bldg40AP3,21217,33495,4.0
859,Bldg40AP4,21217,33495,4.0
860,Bldg40AP5,21264,33491,2.0
861,Bldg40AP6,21264,33491,2.0
862,Bldg40AP7,21264,33491,3.0
863,Bldg40AP8,21264,33491,3.0
864,Bldg40AP9,21264,33491,4.0
865,Bldg40AP10,21264,33491,4.0
866,Bldg40AP11,21302,33486,2.0
867,Bldg40AP12,21302,33486,2.0
868,Bldg40AP13,21302,33486,3.0
869,Bldg40AP14,21302,33486,4.0
870,Bldg40AP15,21302,33486,4.0
871,Bldg40AP16,21302,33486,1.0
872,Bldg40AP17,21264,33491,1.0
873,Bldg41AP1,20744,33415,2.0
874,Bldg41AP2,20744,33415,2.0
875,Bldg41AP3,20744,33415,3.0
876,Bldg41AP4,20744,33415,2.0
877,Bldg42AP1,20995,33297,2.0
878,Bldg43AP1,21808,32346,
879,Bldg43AP2,21808,32346,
880,Bldg43AP3,21808,32346,
881,Bldg43AP4,21808,32346,
882,Bldg43AP5,21808,32346,
883,Bldg43AP6,21808,32346,
884,Bldg44AP1,14703,39123,2.0
885,Bldg44AP2,14703,39123,2.0
886,Bldg44AP3,14703,39123,2.0
887,Bldg44AP4,14703,39123,2.0
888,Bldg44AP5,14703,39123,2.0
889,Bldg44AP6,14703,39123,2.0
890,Bldg44AP7,14703,39123,3.0
891,Bldg44AP8,14703,39123,4.0
892,Bldg44AP9,14703,39123,3.0
893,Bldg44AP10,14703,39123,3.0
894,Bldg44AP11,14703,39123,3.0
895,Bldg44AP12,14703,39123,4.0
896,Bldg44AP13,14703,39123,4.0
897,Bldg44AP14,14703,39123,4.0
898,Bldg44AP15,14703,39123,4.0
899,Bldg44AP16,14703,39123,4.0
900,Bldg44AP17,14703,39123,1.0
901,Bldg44AP18,14703,39123,2.0
902,Bldg44AP19,14703,39123,2.0
903,Bldg44AP20,14703,39123,2.0
904,Bldg44AP21,14703,39123,2.0
905,Bldg44AP22,14703,39123,3.0
906,Bldg44AP23,14703,39123,3.0
907,Bldg44AP24,14703,39123,3.0
908,Bldg44AP25,14703,39123,3.0
909,Bldg44AP26,14703,39123,3.0
910,Bldg44AP27,14703,39123,3.0
911,Bldg44AP28,14703,39123,4.0
912,Bldg44AP29,14703,39123,4.0
913,Bldg44AP30,14703,39123,4.0
914,Bldg44AP31,14703,39123,4.0
915,Bldg44AP32,14703,39123,3.0
916,Bldg44AP33,14703,39123,4.0
917,Bldg44AP34,14703,39123,4.0
918,Bldg44AP35,14703,39123,4.0
919,Bldg44AP36,14703,39123,4.0
920,Bldg44AP37,14703,39123,4.0
921,Bldg44AP38,14703,39123,2.0
922,Bldg44AP39,14703,39123,2.0
923,Bldg44AP40,14703,39123,4.0
924,Bldg44AP41,14703,39123,4.0
925,Bldg44AP42,14703,39123,4.0
926,Bldg44AP43,14703,39123,4.0
927,Bldg44AP44,14703,39123,3.0
928,Bldg44AP45,14703,39123,3.0
929,Bldg44AP46,14703,39123,3.0
930,Bldg44AP47,14703,39123,4.0
931,Bldg44AP48,14703,39123,4.0
932,Bldg44AP49,14703,39123,4.0
933,Bldg44AP50,14703,39123,3.0
934,Bldg44AP51,14703,39123,3.0
935,Bldg44AP52,14703,39123,3.0
936,Bldg44AP53,14703,39123,2.0
937,Bldg44AP54,14703,39123,2.0
938,Bldg44AP55,14703,39123,2.0
939,Bldg44AP56,14703,39123,2.0
940,Bldg44AP57,14703,39123,2.0
941,Bldg44AP58,14703,39123,3.0
942,Bldg44AP59,14703,39123,3.0
943,Bldg44AP60,14703,39123,3.0
944,Bldg44AP61,14703,39123,4.0
945,Bldg44AP62,14703,39123,3.0
946,Bldg44AP63,14703,39123,3.0
947,Bldg44AP64,14703,39123,3.0
948,Bldg44AP65,14703,39123,2.0
949,Bldg44AP66,14703,39123,2.0
950,Bldg44AP67,14703,39123,2.0
951,Bldg44AP68,14703,39123,2.0
952,Bldg44AP69,14703,39123,2.0
953,Bldg44AP70,14703,39123,2.0
954,Bldg44AP71,14703,39123,2.0
955,Bldg44AP72,14703,39123,2.0
956,Bldg44AP73,14703,39123,2.0
957,Bldg44AP74,14703,39123,3.0
958,Bldg44AP75,14703,39123,3.0
959,Bldg44AP76,14703,39123,3.0
960,Bldg44AP77,14703,39123,3.0
961,Bldg44AP78,14703,39123,3.0
962,Bldg44AP79,14703,39123,3.0
963,Bldg44AP80,14703,39123,4.0
964,Bldg44AP81,14703,39123,1.0
965,Bldg44AP82,14703,39123,2.0
966,Bldg44AP83,14703,39123,2.0
967,Bldg44AP84,14703,39123,2.0
968,Bldg44AP85,14703,39123,2.0
969,Bldg45AP1,3981,15119,
970,Bldg45AP2,3981,15119,
971,Bldg45AP3,3981,15119,
972,Bldg45AP4,3981,15119,
973,Bldg45AP5,3981,15119,
974,Bldg45AP6,3981,15119,
975,Bldg45AP7,3981,15119,
976,Bldg45AP8,3981,15119,
977,Bldg45AP9,3981,15119,
978,Bldg45AP10,3981,15119,
979,Bldg45AP11,3981,15119,2.0
980,Bldg45AP12,3981,15119,
981,Bldg45AP13,3981,15119,2.0
982,Bldg45AP14,3981,15119,
983,Bldg45AP15,3981,15119,
984,Bldg45AP16,3981,15119,
985,Bldg45AP17,3981,15119,
986,Bldg45AP18,3981,15119,
987,Bldg45AP19,3981,15119,
988,Bldg45AP20,3981,15119,
989,Bldg45AP21,3981,15119,
990,Bldg45AP22,3981,15119,
991,Bldg45AP23,3981,15119,
992,Bldg45AP24,3981,15119,
993,Bldg45AP25,3981,15119,
994,Bldg45AP26,3981,15119,
995,Bldg45AP27,3981,15119,
996,Bldg45AP28,3981,15119,
997,Bldg45AP29,3981,15119,
998,Bldg45AP30,3981,15119,
999,Bldg45AP31,3981,15119,
1000,Bldg45AP32,3981,15119,
1001,Bldg45AP33,3981,15119,
1002,Bldg45AP34,3981,15119,
1003,Bldg45AP35,3981,15119,
1004,Bldg45AP36,3981,15119,
1005,Bldg45AP37,3981,15119,3.0
1006,Bldg46AP1,25242,12247,2.0
1007,Bldg46AP2,25242,12247,3.0
1008,Bldg46AP3,25242,12247,3.0
1009,Bldg46AP4,25242,12247,3.0
1010,Bldg46AP5,25242,12247,3.0
1011,Bldg46AP6,25242,12247,5.0
1012,Bldg46AP7,25242,12247,5.0
1013,Bldg46AP8,25242,12247,6.0
1014,Bldg46AP9,25242,12247,6.0
1015,Bldg46AP10,25242,12247,6.0
1016,Bldg46AP11,25242,12247,7.0
1017,Bldg46AP12,25242,12247,7.0
1018,Bldg46AP13,25242,12247,3.0
1019,Bldg46AP14,25242,12247,4.0
1020,Bldg46AP15,25242,12247,4.0
1021,Bldg46AP16,25242,12247,5.0
1022,Bldg46AP17,25242,12247,5.0
1023,Bldg46AP18,25242,12247,5.0
1024,Bldg46AP19,25242,12247,6.0
1025,Bldg46AP20,25242,12247,6.0
1026,Bldg46AP21,25242,12247,6.0
1027,Bldg46AP22,25242,12247,7.0
1028,Bldg46AP23,25242,12247,7.0
1029,Bldg47AP1,14093,18419,2.0
1030,Bldg47AP2,14093,18419,3.0
1031,Bldg47AP3,14093,18419,3.0
1032,Bldg47AP4,14093,18419,3.0
1033,Bldg47AP5,14093,18419,4.0
1034,Bldg47AP6,14093,18419,4.0
1035,Bldg47AP7,14093,18419,4.0
1036,Bldg47AP8,14093,18419,5.0
1037,Bldg47AP9,14093,18419,6.0
1038,Bldg47AP10,14093,18419,4.0
1039,Bldg47AP11,14093,18419,2.0
1040,Bldg47AP12,14093,18419,2.0
1041,Bldg47AP13,14093,18419,2.0
1042,Bldg47AP14,14093,18419,2.0
1043,Bldg47AP15,14093,18419,2.0
1044,Bldg47AP16,14093,18419,3.0
1045,Bldg47AP17,14093,18419,4.0
1046,Bldg47AP18,14093,18419,5.0
1047,Bldg47AP19,14093,18419,5.0
1048,Bldg47AP20,14093,18419,6.0
1049,Bldg47AP21,14093,18419,6.0
1050,Bldg47AP22,14093,18419,6.0
1051,Bldg48AP1,14356,39196,4.0
1052,Bldg48AP2,14356,39196,4.0
1053,Bldg48AP3,14356,39196,5.0
1054,Bldg48AP4,14356,39196,5.0
1055,Bldg48AP5,14356,39196,6.0
1056,Bldg48AP6,14356,39196,7.0
1057,Bldg48AP7,14356,39196,7.0
1058,Bldg48AP8,14356,39196,7.0
1059,Bldg48AP9,14356,39196,7.0
1060,Bldg48AP10,14356,39196,7.0
1061,Bldg48AP11,14356,39196,8.0
1062,Bldg48AP12,14356,39196,8.0
1063,Bldg48AP13,14356,39196,8.0
1064,Bldg48AP14,14356,39196,8.0
1065,Bldg48AP15,14356,39196,8.0
1066,Bldg48AP16,14356,39196,8.0
1067,Bldg48AP17,14356,39196,8.0
1068,Bldg48AP18,14356,39196,8.0
1069,Bldg48AP19,14356,39196,8.0
1070,Bldg48AP20,14356,39196,8.0
1071,Bldg48AP21,14356,39196,3.0
1072,Bldg48AP22,14356,39196,3.0
1073,Bldg48AP23,14356,39196,4.0
1074,Bldg48AP24,14356,39196,4.0
1075,Bldg48AP25,14356,39196,5.0
1076,Bldg48AP26,14356,39196,5.0
1077,Bldg48AP27,14356,39196,5.0
1078,Bldg48AP28,14356,39196,6.0
1079,Bldg48AP29,14356,39196,6.0
1080,Bldg48AP30,14356,39196,6.0
1081,Bldg48AP31,14356,39196,7.0
1082,Bldg48AP32,14356,39196,8.0
1083,Bldg48AP33,14356,39196,8.0
1084,Bldg48AP34,14356,39196,4.0
1085,Bldg48AP35,14356,39196,
1086,Bldg48AP36,14356,39196,
1087,Bldg48AP37,14356,39196,
1088,Bldg48AP38,14356,39196,
1089,Bldg48AP39,14356,39196,
1090,Bldg48AP40,14356,39196,
1091,Bldg48AP41,14356,39196,
1092,Bldg48AP42,14356,39196,
1093,Bldg48AP43,14356,39196,
1094,Bldg48AP44,14356,39196,
1095,Bldg48AP45,14356,39196,
1096,Bldg48AP46,14356,39196,
1097,Bldg48AP47,14356,39196,
1098,Bldg48AP48,14356,39196,
1099,Bldg48AP49,14356,39196,
1100,Bldg48AP50,14356,39196,
1101,Bldg48AP51,14356,39196,
1102,Bldg48AP52,14356,39196,
1103,Bldg48AP53,14356,39196,
1104,Bldg48AP54,14356,39196,
1105,Bldg48AP55,14356,39196,
1106,Bldg48AP56,14356,39196,
1107,Bldg48AP57,14356,39196,
1108,Bldg48AP58,14356,39196,
1109,Bldg48AP59,14356,39196,
1110,Bldg48AP60,14356,39196,
1111,Bldg48AP61,14356,39196,
1112,Bldg48AP62,14356,39196,
1113,Bldg48AP63,14356,39196,
1114,Bldg48AP64,14356,39196,
1115,Bldg48AP65,14356,39196,
1116,Bldg48AP66,14356,39196,
1117,Bldg48AP67,14356,39196,
1118,Bldg48AP68,14356,39196,
1119,Bldg48AP69,14356,39196,
1120,Bldg48AP70,14356,39196,
1121,Bldg48AP71,14356,39196,
1122,Bldg48AP72,14356,39196,
